date,Gaia ID,TIC ID,flare TIC ID,complex?,simbad,cds,spec,lamost,Halpha,L_alpha_bol,simbad name,ra,dec,Aizawa,Kashiyama,note,flaring star,TIC ID,Tmag,TESS lc data,Prot,TESS lc Prot,TESS FFT data,TESS FFT Prot,tau,,lamost,Halpha,L_halpha_bol,stellar activity,ASASSN,ZTF,ZTF period,spectrum/CDS,aperture,start,tpeak,rise (s),amp (%),t_1_2 (s),complex?,data_place,analyzed_place,Gaia mag,,,flare shape,rad,e_rad,mass,e_mass,Teff,e_Teff,lum,e_lum,dist,e_dist,stellar_type,plot_flux_type,tplotmin,tplotMax,Note
20191106,2977433546209292672,121638493,,0,None,,None,,-,,,70.32431541,-19.77082203,1,1,,2977433546209292672,121638493,15.1664,0,1.207,-1,5 32,1.221,88.04392577,0.01386807766,,,,Yes,,,,,,58793.646,58793.64698,50,30,50,,yajiri2:,yajiri2:/blacksmith/product,16.44178,,,classical,0.296102,0.009343,0.272177,0.0204501,3300,157,0.009367703,0.002387712,135.188,1.298,,flux_catalog_aperture_r5,-300,500,
20200320,3591621772275988224,185243119,,0.5,None,,None,,-,,,174.4171557,-9.485212182,1,1,,3591621772275988224,185243119,15.2956,0,,-1,9 36,-2,76.05898664,,,,,No,,,,,,,58928.70837,98,650,240,,yajiri:,yajiri:/blacksmith/product,16.621298,,,classical,0.338103,0.0114043,0.320456,0.0211237,3209,157,0.0109212315,0.00289217127,154.397,2.473,,flux_catalog_aperture_r7,-300,800,
20200201,612157157509901568,203228080,,0,,,dM5,http://dr7.lamost.org/v2.0/spectrum/view?obsid=656204247,Yes,3.08E-04,,135.1861,18.162717,1,1,,612157157509901568,203228080,15.3652,0,,-1,,-1,64.20909454,,http://dr7.lamost.org/v2.0/spectrum/view?obsid=656204247,Yes,3.08E-04,Yes,,,,,,58880.614,58880.61482,130,20,100,,yajiri2:/alps2/,yajiri2:/blacksmith/product,16.7773,,,classical,0.387903,0.0133073,0.377761,0.0216028,3131,157,0.0130278654,0.00353006786,182.041,3.7995,,flux_catalog_aperture_r5,-300,500,
20191129,46623557923070848,243017627,,0,,,dM5,http://dr7.lamost.org/v2.0/spectrum/view?obsid=256413191,Yes,3.42E-04,,60.906875,17.477485,0,1,,46623557923070848,243017627,14.5011,0,1.665,-1,42 43,1.748434613,74.82769575,0.02336614265,http://dr7.lamost.org/v2.0/spectrum/view?obsid=256413191,Yes,3.42E-04,Yes,,,,,,58816.621,58816.62264,130,10,150,,yajiri2:/alps2/,yajiri2:/blacksmith/product,15.8285,,,classical,0.342821,0.0106968,0.32591,0.0205362,3246,157,0.0117550259,0.00302563957,111.682,1.1505,,flux_catalog_aperture_r5,-600,1000,近くににたような明るさの星がいてコンタミをしているが、、
20190812,459557313084377600,251725681,,0,None,,None,,-,,,46.63678637,55.8889491,1,1,,459557313084377600,251725681,13.6189,1,,-2,18,-2,64.33724943,-0.03108619063,,,,Yes,,,,,,58707.761,58707.76182,40,5,60,,yajiri2:,yajiri2:/blacksmith/product,14.899347,,,classical,0.387303,0.0115695,0.377077,0.0202761,3278,157,0.0156038664,0.00394399557,88.0426,0.46585,,flux_catalog_aperture_r5,-300,500,
20190812,446653719498303360,315617164,,0,None,,None,,-,,,50.70562544,54.33887296,0,1,,446653719498303360,315617164,15.5038,0,0.591,-1,18,0.599,84.57263536,0.007082669204,,,,Yes,,,,,,58707.755,58707.75557,15,25,40,,yajiri2:,yajiri2:/blacksmith/product,16.821157,,,classical,0.307628,0.00977443,0.28534,0.0205345,3224,157,0.00921142,0.0023940457,146.933,1.846,,flux_catalog_aperture_r7,-300,500,
20191224,3398180156118506240,358561826,,1,,,dM5,http://dr7.lamost.org/spectrum/view?obsid=163902111,Yes,2.79E-04,,87.648502,18.068538,1,1,,3398180156118506240,358561826,14.6839,0,,-1,43,-2,98.39507919,,http://dr7.lamost.org/spectrum/view?obsid=163902111,Yes,2.79E-04,Yes,,,,,,58411.622,58841.6226,70,200,25,,yajiri2:/alps2/,yajiri2:/blacksmith/product,16.1486,,,complex?,0.264049,0.00830785,0.236216,0.0203255,3032,157,0.00530860666,0.00144300843,81.4912,0.99485,,flux_catalog_aperture_r7,-300,4800,"立ち上がり70s、25sくらいで半分になって、もう1, 2回フレア、その後も光っている"
20191224,3424274521982173184,358573853,,0,,,dM5/dM4,http://dr7.lamost.org/result?sqlid=37376&rows=100&page=1&sort=inputobjs_input_id&order=asc,No,<0.000015,,87.727153,22.448619,1,1,,3424274521982173184,358573853,13.8597,0,,-1,43,-2,107.5337606,,http://dr7.lamost.org/result?sqlid=37376&rows=100&page=1&sort=inputobjs_input_id&order=asc,No,<0.000015,No,,,,,,58841.687,58841.68789,70,15,130,,yajiri2:/alps2/,yajiri2:/blacksmith/product,15.1974,,,classical,0.237919,0.0071683,0.207903,0.0201155,3225,157,0.00551660452,0.00141491462,53.7278,0.206,,flux_catalog_aperture_r7,-300,500,
20200130,602712283908074752,366485128,,0,None,,None,,-,,,127.0251923,11.90074905,1,1,,602712283908074752,366485128,15.5884,0,,-1,7 34,-2,70.13507189,,,,,No,,,,,,58878.748,58878.75018,100,40,100,,yajiri2:/alps2/,yajiri2:/blacksmith/product,16.815475,,,classical,0.361683,0.0137001,0.347694,0.0224553,3354,157,0.0149143087,0.003947407,209.611,5.2115,,flux_catalog_aperture_r5,-500,800,
20200302,3807639076572502144,374272810,,0,None,,None,,-,,,159.5096478,1.505311202,1,1,,3807639076572502144,374272810,13.9477,0,0.6975,-1,9 35,3.989,122.3904761,0.03259240529,,,,Yes,,,,,,58910.664,58910.66552,80,20,100,,yajiri:,yajiri:/blacksmith/product,15.308666,,,classical,0.198261,0.00611506,0.167285,0.02011,3136,157,0.003425102,0.0009027303,43.5249,0.17225,,flux_catalog_aperture_r7,-300,800,前半に複数回フレア
20200325,3679752748843326208,380197137,,0,None,,None,,-,,,187.836787,-6.098366,1,1,,3679752748843326208,380197137,14.9968,0,,-1,,-1,122.2441963,,,,,,,422201300020040,,None,,58933,58933.57013,10,100,3,,naginata:/alps/,naginata:/alps2/heso/blacksmith/product/,16.4235,,,classical,0.19864,0.00641873,0.167657,0.0201987,3094,157,0.003257687,0.0008774067,69.4235,0.6774,,flux_catalog_aperture_r7,-300,300,
20191129,3311459749888116736,435904068,,0,,,dM2/dM4,http://dr7.lamost.org/v2.0/spectrum/view?obsid=381907096,Yes,1.69E-04,,64.55466,14.464349,1,1,,3311459749888116736,435904068,14.2768,0,1.357,-1,45 32 43,1.332,62.15051865,0.02143184046,http://dr7.lamost.org/v2.0/spectrum/view?obsid=381907096,Yes,1.69E-04,Yes,,,,,,58816.622,58816.62248,17,20,20,,yajiri2:/alps2/,yajiri2:/blacksmith/product,15.6191,,,classical,0.39778,0.0124535,0.388972,0.0207204,3230,157,0.01551639,0.0040122373,120.514,1.4125,,flux_catalog_aperture_r7,-300,500,
